,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
0,Maple Creek,CA,1529261840,49.91,-109.46,68.14,47,5.5,24
1,Srednekolymsk,RU,1529261840,67.46,153.71,49.61,84,3.71,80
2,Ossora,RU,1529261840,59.24,163.07,40.88,90,3.71,0
3,Sangar,RU,1529261841,63.92,127.47,47.98,64,2.26,12
4,Asbe Teferi,ET,1529261841,9.08,40.87,60.41,81,2.59,0
5,Joensuu,FI,1529259600,62.6,29.76,69.8,52,3.36,0
6,Okhtyrka,UA,1529261841,50.31,34.89,74.53,34,9.86,0
7,Lyngseidet,NO,1529259600,69.58,20.21,50.0,71,20.8,0
8,Gainesville,US,1529260500,29.65,-82.33,91.4,55,6.93,40
9,Danielskuil,ZA,1529261842,-28.19,23.54,52.39,33,9.86,0
10,Kijang,ID,1529261842,0.9,104.63,83.08,95,8.63,64
11,Minab,IR,1529260200,27.15,57.07,87.8,79,13.87,0
12,Langxiang,CN,1529261842,46.95,128.87,59.51,79,3.15,68
13,Owerri,NG,1529261842,5.49,7.03,78.68,85,9.64,80
14,Sebeta,ET,1529261842,8.91,38.62,56.26,87,1.48,56
15,Kokopo,PG,1529261533,-4.34,152.27,77.06,100,1.14,68
16,Burnie,AU,1529261532,-41.05,145.91,51.13,100,18.03,0
17,Inuvik,CA,1529258400,68.36,-133.71,50.0,49,2.24,20
18,Honiara,SB,1529258400,-9.43,159.96,71.6,100,2.24,40
19,Aswan,EG,1529261843,24.09,32.9,96.41,15,7.96,0
20,Palmer,US,1529258160,61.6,-149.11,57.2,71,4.7,90
21,Severomuysk,RU,1529261843,56.17,113.57,47.81,80,1.92,92
22,Silver City,US,1529260500,32.77,-108.28,75.2,33,11.41,75
23,Bathsheba,BB,1529258400,13.22,-59.52,84.2,74,21.92,40
24,Floro,NO,1529259600,61.6,5.03,59.0,82,5.82,20
25,Inongo,CD,1529261544,-1.93,18.29,76.88,81,2.15,8
26,Naifaru,MV,1529261844,5.44,73.37,82.99,100,8.19,92
27,Kiruna,SE,1529259600,67.86,20.23,64.4,49,8.05,0
28,Egvekinot,RU,1529261531,66.32,-179.17,36.38,100,2.59,92
29,Makakilo City,US,1529258640,21.35,-158.09,80.6,61,8.05,1
30,Itarema,BR,1529261577,-2.92,-39.92,83.98,70,16.69,76
31,Kirensk,RU,1529261529,57.78,108.12,60.41,62,4.16,88
32,Sembe,CG,1529261844,1.65,14.58,77.06,81,4.16,0
33,Sao Lourenco do Sul,BR,1529258400,-31.37,-51.98,57.2,67,4.7,40
34,Kunashak,RU,1529260200,55.7,61.55,44.6,81,8.95,20
35,Vanavara,RU,1529261845,60.35,102.28,61.76,83,2.26,0
36,Nouadhibou,MR,1529258400,20.93,-17.03,69.8,73,21.92,0
37,Magadan,RU,1529258400,59.56,150.8,42.8,93,1.92,90
38,Verkhoyansk,RU,1529261845,67.55,133.39,47.26,100,2.59,88
39,Lindi,TZ,1529261845,-10.0,39.71,70.39,66,4.83,0
40,Inhambane,MZ,1529258400,-23.87,35.38,64.4,82,7.18,0
41,Acapulco,MX,1529257440,16.86,-99.88,82.4,74,8.05,90
42,Popondetta,PG,1529261846,-8.77,148.24,67.96,91,1.81,68
43,Barrow,US,1529260500,39.51,-90.4,95.0,62,11.41,1
44,Tromso,NO,1529259600,69.65,18.96,50.0,71,20.8,0
45,Vetlanda,SE,1529259600,57.43,15.09,62.6,59,9.17,0
